id,major,classification,attend_company_showcase,rate_company_showcase,feedback_company_showcase,where_found_info,use_any_website_resources,any_dislike_comm,rate_whether_info_sent_timely,rate_documentation,feedback_documentation,date,overall_rating,feedback_what_worked,feedback_what_did_not_work,feedback_career_fair,rate_career_virtual_platform,issues_career_virtual_platform,favorite_features_career_virtual_platform,future_features_career_virtual_platform,other_comm,Year,any_dislike_comm_sentiment_fall_2021,feedback_company_showcase_sentiment_fall_2021,feedback_documentation_sentiment_fall_2021,feedback_what_worked_sentiment_fall_2021,feedback_what_did_not_work_sentiment_fall_2021,feedback_career_fair_sentiment_fall_2021,other_comm_sentiment_fall_2021
11,Mechanical Engineering,Freshman,No,,,"College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist",No,8,8,,"Day 1 (Wednesday, September 8th)",9,The face to face communication between students and recruiters ,The tight spaces in the rows,I don’t really know,,,,,,Fall 2021,1,3,3,4,3,2,4
12,Computer Engineering,Junior,No,,,"Texas A&M Career Center, College of Engineering Emails",Company Search/Information,,5,5,,"Day 1 (Wednesday, September 8th)",7,,,,5,,,,,Fall 2021,3,3,3,5,4,2,4
13,Civil & Environmental Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA",Company Search/Information,No,10,10,It was a little hard to find the company career page but that is probably because I was unfamiliar with it. ,"Day 1 (Wednesday, September 8th)",10,Easy to access firms. ,,,10,Nonw,Ease of list of companies ,,,Fall 2021,1,3,3,5,2,2,5
14,Computer Science,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates, Other","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",5,,,,,,,,,Fall 2021,2,3,3,5,3,3,1
15,Aerospace Engineering,Sophomore,Yes,9,"A larger space, hard to tell what lines are for what company ","College of Engineering Emails, Professor/Advisor/TA",Company Search/Information,,9,,,"Day 1 (Wednesday, September 8th)",9,The name tag,The space limits,A larger space ,,,,,Maybe a smaller amount of companies per day spread over a week instead of 3 days,Fall 2021,3,3,2,3,5,3,2
16,Computer Science,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",Company Search/Information,No,8,7,,"Day 1 (Wednesday, September 8th)",9,,,,5,,,,,Fall 2021,1,3,4,4,4,5,3
17,Materials Science and Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails",Company Search/Information,,9,9,,"Day 1 (Wednesday, September 8th), Day 3 (Virtual, September 10th)",10,,,,9,,,,,Fall 2021,2,3,4,4,3,3,4
18,Other,Freshman,Yes,5,,College of Engineering Emails,"Company Search/Information, Student Checklist",,8,5,,"Day 1 (Wednesday, September 8th)",8,,,,5,,,,,Fall 2021,2,1,5,5,4,3,5
19,Civil & Environmental Engineering,Senior,Yes,9,Hall of Champions needs more space or less booths,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links, Zoom Help Rooms during the online portion",,9,10,,"Day 1 (Wednesday, September 8th), Day 3 (Virtual, September 10th)",10,The fair is well organized and it had everything ready on time. Booking appointments was a great idea.,I beleive it needs more spece because all the lines that form. ,"You can still do appointments, but you should give priority to those who register at the entrance because some appointments are right at 9 am.",9,,,,,Fall 2021,1,5,2,5,3,3,2
20,Electrical Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails","Company Search/Information, Student Checklist",,8,8,,"Day 1 (Wednesday, September 8th), Day 3 (Virtual, September 10th)",7,,Unclear as to which lines were for which companies,,,,,,,Fall 2021,3,3,3,5,3,5,1
21,Mechanical Engineering,Sophomore,No,,,"Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist",,10,,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",9,"Backpack check in/out, walking in and walking out",The lines. Not a lot of space. No real method to the chaos,"Improve information given, especially for first timers. Improve overall traffic of the fair. ",,,,,,Fall 2021,1,3,3,5,2,4,5
22,Mechanical Engineering,Masters,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,10,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",8,,,,8,Maximum number of reservation was low,,,,Fall 2021,1,5,2,5,2,2,4
23,Computer Engineering,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), Friends/Classmates","Company Search/Information, Student Checklist",,10,9,,"Day 1 (Wednesday, September 8th)",8,,,,,,,,,Fall 2021,1,3,5,5,2,3,3
24,Materials Science and Engineering,Junior,No,,,"College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links","The SEC website and the Career Fair Plus website had different Booth locations listed. Example: P&G was at G6 and G7 on the SEC site, but at C24 on Career Fair Plus.",9,8,,"Day 1 (Wednesday, September 8th)",8,,,,,,,,,Fall 2021,3,5,3,4,3,4,3
25,Civil & Environmental Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,7,9,,"Day 1 (Wednesday, September 8th)",9,,,,,,,,,Fall 2021,1,3,2,1,2,3,5
26,Electrical Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,10,,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",8,Check in was quick,I wish it went on a little longer in the day,Continue to incorporate more businesses in technology,,,,,,Fall 2021,3,5,3,4,3,5,4
27,Civil & Environmental Engineering,Senior,No,,,"College of Engineering Emails, Friends/Classmates",I did not use any of the above resources,,4,,,"Day 1 (Wednesday, September 8th)",10,,,,,,,,,Fall 2021,3,3,4,1,3,3,2
28,Mechanical Engineering,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist",,10,8,,"Day 1 (Wednesday, September 8th)",9,All recruiters were willing to talk to me even though I am a freshman,The lines got a bit jumbled at popular companies,,,,,,,Fall 2021,5,4,4,5,3,3,5
29,Electrical Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), Friends/Classmates",Student Checklist,,4,,,"Day 1 (Wednesday, September 8th)",6,,,,,,,,,Fall 2021,1,1,5,4,1,4,3
30,Mechanical Engineering,Senior,Yes,9,"I wish the aisles were a little bit bigger. I’m so glad it’s back to F2F, though!","SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails","Company Search/Information, Student Checklist",Nope,10,9,,"Day 1 (Wednesday, September 8th)",10,F2F & A/C,Too crowded in some areas,Widen the space,,,,,,Fall 2021,1,4,2,5,2,5,5
31,Materials Science and Engineering,Masters,Yes,5,There are a lot of civil engineering companies at the career fair. I think that makes the field over represented when time and space is limited like at the showcase ,"College of Engineering Emails, Professor/Advisor/TA","Company Search/Information, Student Checklist",The dress code was never mentioned. A guy told me I couldn't get in with a short sleeve shirt (with a collar). I could've heard about that some time earlier. Also the emails about the career fair were the same information repeatedly. ,7,5,,"Day 1 (Wednesday, September 8th)",6,The company information online was a good starting point for researching companies to talk to. ,,,,,,,,Fall 2021,1,3,4,4,3,3,2
32,Aerospace Engineering,Junior,No,4,"Maintaining multiple entrances and enough staff to process so many students would be necessary to avoid extremely long wait times, even for students arriving on time. Either that, or maybe assign students into different buckets/groups for entry times so that overcrowding is reduced. ","SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,6,,"Day 1 (Wednesday, September 8th)",5,,,,,,,,,Fall 2021,1,4,3,4,2,1,2
33,Electrical Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates",Company Search/Information,,8,,,"Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",7,,,,,,,,,Fall 2021,3,5,2,3,1,3,2
34,Chemical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails","Company Search/Information, Student Checklist",,8,7,"State dress code on the website, rather than only in the email. Additionally, it was awesome to have a dedicated bus, but I could not find information about it anywhere, so I was unable to utilize it during the first day.","Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",,,,,7,I could not check information on my phone at the fair because it forces you to download the app rather than logging in on a browser.,"Filtering companies by major, industry, etc. was very helpful.",,,Fall 2021,2,3,2,4,3,1,5
35,Computer Science,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), Other",Company Search/Information,,10,10,,"Day 2 (Thursday, September 9th)",10,I loved how organized everything was and how it wasn’t that hard to find the companies I wanted to communicate with ,,,,,,,,Fall 2021,1,2,5,5,4,2,5
36,Mechanical Engineering,Senior,No,9,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,6,7,,"Day 2 (Thursday, September 9th)",8,Putting bigger companies at the ends where there was more space,Smaller companies in the middle were too cramped and a health hazard with covid,,8,,,,,Fall 2021,1,5,5,3,2,2,5
37,Architectural Engineering,Junior,No,,,"SEC Social Media (Instagram, Facebook, or LinkedIn), Friends/Classmates","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,8,,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",10,,,,,,,,,Fall 2021,2,1,4,4,3,3,5
38,Chemical Engineering,Senior,No,10,,"Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Career Fair Plus tutorial/walkthrough links",,10,10,,"Day 2 (Thursday, September 9th)",10,,,,10,,,,,Fall 2021,1,3,4,4,3,3,2
39,Civil & Environmental Engineering,Sophomore,No,9,"Jeans are business casual, let us wear jeans",SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist",,10,9,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",10,Backpack check-in was helpful,Hallways were to cramped,Allow jeans,,,,,"Jeans are business casual, allow us to wear jeans",Fall 2021,3,5,4,4,2,3,4
40,Mechanical Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Career Fair Plus tutorial/walkthrough links",No,10,10,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th)",,,,,,,,,,Fall 2021,1,2,3,2,4,3,5
41,Mechanical Engineering,Freshman,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails",Student Checklist,,9,7,,"Day 2 (Thursday, September 9th)",5,,,,,,,,,Fall 2021,1,4,3,4,4,3,5
42,Mechanical Engineering,Senior,No,8,,College of Engineering Emails,Company Search/Information,,,5,,"Day 2 (Thursday, September 9th)",8,,"The line to print was long, provide printers in mass for students to print resumes the day of or earlier ","The line to print was long, provide printers in mass for students to print resumes the day of or earlier ",6,,,,Don't throw backpacks ,Fall 2021,1,3,3,5,4,4,1
43,Computer Science,Sophomore,Yes,7,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links, Zoom Help Rooms during the online portion, Other",,8,5,,"Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",7,,,,10,,,,,Fall 2021,2,3,2,4,3,3,5
44,Mechanical Engineering,Senior,No,8,,"College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA",I did not use any of the above resources,,8,,,"Day 2 (Thursday, September 9th)",8,,,,,,,,,Fall 2021,5,5,1,4,2,3,4
45,Chemical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist",,8,7,"Start pushing it earlier, before the semester starts. Would be nice to have an early reminder to prepare!","Day 2 (Thursday, September 9th)",8,,,,6,,,Would like to know queue position in addition to the stated wait time,,Fall 2021,2,3,3,5,3,5,5
46,Mechanical Engineering,Junior,Yes,7,"So few companies were at the showcase compared to the career fair, I would have liked more options and more time slots.","SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Career Fair Plus tutorial/walkthrough links, Zoom Help Rooms during the online portion",It would have been much better if the booth number for the company you were seeing appeared on your meeting schedule. It was extremely difficult to find a booth number and you'd lose information you needed looking.,10,9,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",8,The in person portion was fantastic.,The online meetings were glitchy and the events ended too early every day.,More time in the evenings for students to attend would have been a big help. I had to rush through and didn't make as many appointments as I would have since I was always thinking about getting to my next class afterwards.,7,"This is the platform that didn't include booth numbers. I also stared a bunch of companies to check out later, but when I got to the fair and pulled up the website my stars were gone.",The information you are able to give companies through the platform is a great feature.,Please give us booth numbers.,"Thanks for the fair, overall it was pretty great.",Fall 2021,2,2,3,5,2,3,4
47,Mechanical Engineering,Junior,Yes,7,More advertising of it some of my friends didn't realize it was happening. It seemed easier to connect with recruiters there in person,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,5,6,,"Day 1 (Wednesday, September 8th), Day 2 (Thursday, September 9th), Day 3 (Virtual, September 10th)",8,There was a wide range of recruiters. Having both an online and in person career fair,The recruiters were crammed together and it was hard to figure out what line was for which company,Magically find someplace with more space,9,There was a 5 interview limit on Monday that I didn't know about beforehand,Everything was in one place,The ability to export meeting times to Google calendar,You rock! Thanks for putting this on,Fall 2021,1,3,3,3,2,5,5
48,Civil & Environmental Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,10,,,"Day 1 (Wednesday, September 8th), Day 3 (Virtual, September 10th)",8,"I like the company search, the bag check, the name tags","The timing of it is very inconvenient. We have been in school a week, barely establishing a routine, and then BOOM career fair. I also think it would be beneficial if the professors would excuse us from classes; I know other colleges are excused.","The timing of it is very inconvenient. We have been in school a week, barely establishing a routine, and then BOOM career fair. I also think it would be beneficial if the professors would excuse us from classes; I know other colleges are excused.",9,,Scheduling a meeting with a specific person ,,"The timing of it is very inconvenient. We have been in school a week, barely establishing a routine, and then BOOM career fair. I also think it would be beneficial if the professors would excuse us from classes; I know other colleges are excused.",Fall 2021,1,2,3,4,2,2,2
49,Computer Engineering,Sophomore,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,7,8,,Hybrid Attendance of In-Person and Virtual,6,,,,6,,,,,Fall 2021,1,3,4,5,5,5,4
50,Electrical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn)","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,8,9,,Hybrid Attendance of In-Person and Virtual,9,,,,9,,,,,Fall 2021,1,1,3,5,4,2,5
51,Interdisciplinary Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",Company Search/Information,,8,5,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",7,,,,5,,,,,Fall 2021,1,3,2,4,4,3,3
52,Computer Science,Senior,No,,,"SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",I did not use any of the above resources,,10,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,,,10,,,,,Fall 2021,2,3,4,5,4,5,5
53,Mechanical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",No!,10,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,,,10,,,,you ROCK,Fall 2021,1,1,3,4,2,3,5
54,Computer Science,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Student Checklist, Career Fair Plus tutorial/walkthrough links",,9,9,,Hybrid Attendance of In-Person and Virtual,9,,,,9,,,,,Fall 2021,1,2,4,5,2,2,4
55,Chemical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",I did not use any of the above resources,,8,10,,Hybrid Attendance of In-Person and Virtual,10,Hybrid ,,More days online ,9,Hard to get back to companies when on appointments ,,Countdowns or appointments on the bottom of the screen ,,Fall 2021,1,2,4,5,2,5,5
56,Mechanical Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails",Company Search/Information,,7,9,I think an announcement like save the date type thing could’ve gone oht earlier in the summer as a reminder for the days. The actual information was well communicated and distributed. ,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",9,The name tags w plastic covering,There could be less companies squished in on the bottom floor,,9,The sign ups were confusing but that was on me for not researching them before ,The 1:1 meetings ,A waitlist for getting in line to talk to a company that didn’t do meetings ,,Fall 2021,1,5,4,1,2,3,5
57,Civil & Environmental Engineering,Junior,Yes,10,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links, Zoom Help Rooms during the online portion",,10,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,I really enjoyed how easy it was to find the booths that corresponded to the company you wanted to speak with. ,At times it was difficult to see when the line started for a company due to the close proximity of all of the companies,Possibly expanding the career fair to where it can be in two locations versus just one!!,,,,,,Fall 2021,1,3,3,4,3,3,5
58,Civil & Environmental Engineering,Junior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,9,10,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",10,,,,,,,,,Fall 2021,1,3,4,5,4,2,3
59,Biological & Agricultural Engineering,Senior,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates",Company Search/Information,,6,7,,"Day 3 (Virtual, September 10th)",,,,,3,I could only register with companies that were recruiting my specific major,The profile feature was interesting but shouldn’t limit you to who you can see,Allowing students from outside a particular major to talk to a company ,I’m just curious about why the career fair is so early in the semester. Sometimes it’s just hard to go because I haven’t had much time to prepare. ,Fall 2021,1,2,3,4,3,2,3
60,Architectural Engineering,Sophomore,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates, Professor/Advisor/TA","Company Search/Information, Student Checklist",,10,8,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",8,The in person meetings were much better than the meetings last year.,,,,,,,,Fall 2021,1,3,5,4,3,3,5
61,Chemical Engineering,Freshman,Yes,5,Make companies say what class they will take ,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates","Company Search/Information, Student Checklist",,10,10,,Hybrid Attendance of In-Person and Virtual,9,,People trying to apply to companies that didn’t take classification ,,,,,,,Fall 2021,1,5,4,4,1,3,4
62,Electrical Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,,8,8,,"Day 3 (Virtual, September 10th)",,,,,10,,Ability to avoid the lines and promptly schedule to talk with all the companies I was interested in,"I understand the reasoning, but I would have like to of scheduled more than 5 meetings.",,Fall 2021,2,3,3,3,1,3,4
63,Mechanical Engineering,Senior,Yes,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), College of Engineering Emails, Friends/Classmates",Company Search/Information,,10,,,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",7,,Long lines ,"Senior priority implemented somehow — separate days, early access etc ",,,,,,Fall 2021,3,4,3,3,4,4,3
64,Mechanical Engineering,Senior,No,,,SEC Career Fair Website (careerfair.sec.tamu.edu),"Company Search/Information, Student Checklist, Other",,10,10,,"Day 3 (Virtual, September 10th)",,,,,10,,Ability to book and go to meetings one after another,,Consider increasing amount of virtual days and encouraging more companies to attend virtual in addition to in-person,Fall 2021,1,4,4,3,2,3,4
65,Architectural Engineering,Senior,No,,,Friends/Classmates,Company Search/Information,Need to do a better job notifying students outside of emails by having all professors mention the fair  weeks in advance,2,1,Make the map more interactive and not change it the day of.,"Day 1 AND/OR Day 2 (Wednesday AND/OR Thursday, September 8th & 9th)",6,,"Not having diversity of majors. They were 70% CVEN and most majors like mine, AERO, and computer had little to no companies","More diverse companies seeking all majors, not just CVEN. Also, don’t allow companies to list all majors when they don’t even plan on recruiting all majors",,,,,,Fall 2021,2,3,4,5,2,2,5
66,Computer Engineering,Masters,No,,,"SEC Career Fair Website (careerfair.sec.tamu.edu), Texas A&M Career Center, Friends/Classmates","Company Search/Information, Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,10,,Hybrid Attendance of In-Person and Virtual,6,,"There were only few companies for International students, and in the given choices there were only 2 or 3 companies which were highly recognized and top performing. If we could get the top companies in computer science domain (like we had Nvidia), the career fair would have added a lot of value.","If we could get the top companies in computer science domain (like we had Nvidia), the career fair would have added a lot of value.",10,,,,"If we could get the top companies in computer science domain (like we had Nvidia), the career fair would have added a lot of value.",Fall 2021,1,3,4,4,3,3,3
67,Industrial & Systems Engineering,Masters,Yes,8,More spacious and proper guiding to booths and bifurcation based on industries will be of lot helpful. Lesser time and lesser slots due to which couldn’t interact with the dream company,SEC Career Fair Website (careerfair.sec.tamu.edu),Company Search/Information,The website interface is poor there has to be section like send a message to recruiter and can connect on the same platform instantly ,8,8,,Hybrid Attendance of In-Person and Virtual,8,,,,8,,,,,Fall 2021,2,3,4,5,4,2,2
68,Civil & Environmental Engineering,Masters,Yes,9,,"SEC Career Fair Website (careerfair.sec.tamu.edu), SEC Social Media (Instagram, Facebook, or LinkedIn)","Student Checklist, Career Fair Plus tutorial/walkthrough links",,10,9,,Hybrid Attendance of In-Person and Virtual,8,,,,9,,,,,Fall 2021,2,3,4,5,2,2,5
